AREACD,AREANM,Geography,Period,Observation,Measure,Unit,Observation Status
E07000107,Dartford,Local Authority District,2023-05,100.0,Percentage,%,
E07000108,Dover,Local Authority District,2023-05,99.97,Percentage,%,
E07000112,Folkestone and Hythe,Local Authority District,2023-05,99.41,Percentage,%,
E07000109,Gravesham,Local Authority District,2023-05,99.45,Percentage,%,
E07000110,Maidstone,Local Authority District,2023-05,99.19,Percentage,%,
E07000111,Sevenoaks,Local Authority District,2023-05,99.71,Percentage,%,
E07000113,Swale,Local Authority District,2023-05,99.7,Percentage,%,
E07000114,Thanet,Local Authority District,2023-05,100.0,Percentage,%,
E07000115,Tonbridge and Malling,Local Authority District,2023-05,99.93,Percentage,%,
E07000116,Tunbridge Wells,Local Authority District,2023-05,99.89,Percentage,%,
E07000177,Cherwell,Local Authority District,2023-05,100.0,Percentage,%,
E07000178,Oxford,Local Authority District,2023-05,100.0,Percentage,%,
E07000179,South Oxfordshire,Local Authority District,2023-05,99.33,Percentage,%,
E07000180,Vale of White Horse,Local Authority District,2023-05,100.0,Percentage,%,
E07000181,West Oxfordshire,Local Authority District,2023-05,99.79,Percentage,%,
E07000207,Elmbridge,Local Authority District,2023-05,100.0,Percentage,%,
E07000208,Epsom and Ewell,Local Authority District,2023-05,100.0,Percentage,%,
E07000209,Guildford,Local Authority District,2023-05,99.35,Percentage,%,
E07000210,Mole Valley,Local Authority District,2023-05,98.71,Percentage,%,
E07000211,Reigate and Banstead,Local Authority District,2023-05,100.0,Percentage,%,
E07000212,Runnymede,Local Authority District,2023-05,100.0,Percentage,%,
E07000213,Spelthorne,Local Authority District,2023-05,100.0,Percentage,%,
E07000214,Surrey Heath,Local Authority District,2023-05,100.0,Percentage,%,
E07000215,Tandridge,Local Authority District,2023-05,100.0,Percentage,%,
E07000216,Waverley,Local Authority District,2023-05,99.34,Percentage,%,
E07000217,Woking,Local Authority District,2023-05,100.0,Percentage,%,
E07000223,Adur,Local Authority District,2023-05,99.64,Percentage,%,
