Measure type,Country,Reference Area,Reference Period,LA CO2 Sub-Sector,Local Authority,LA CO2 Sector,Territorial emissions per area,Emissions within the scope of influence of LAs,Territorial emissions per capita,Territorial emissions,Unit of Measure
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000025,http://reference.data.gov.uk/id/year/2010,Diesel Railways,South Gloucestershire,Transport,,,,19.7023,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000007,http://reference.data.gov.uk/id/year/2013,Industry Electricity,Warrington,Industry,,,,107.7609,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000036,http://reference.data.gov.uk/id/year/2012,Public Sector Gas,Bracknell Forest,Public Sector,,,,16.5948,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000005,http://reference.data.gov.uk/id/year/2017,LULUCF Net Emissions: Forest land,Darlington,LULUCF,,,,-5.1913,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000005,http://reference.data.gov.uk/id/year/2017,Transport Other,Darlington,Transport,,,,2.8621,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000018,http://reference.data.gov.uk/id/year/2018,Road Transport (Minor roads),Nottingham,Transport,,,,172.2381,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000017,http://reference.data.gov.uk/id/year/2013,Commercial Electricity,Rutland,Commercial,,,,51.3714,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000034,http://reference.data.gov.uk/id/year/2017,Domestic 'Other Fuels',Thurrock,Domestic,,,,3.0487,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000035,http://reference.data.gov.uk/id/year/2016,Industry Electricity,Medway,Industry,,,,41.3847,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000004,http://reference.data.gov.uk/id/year/2009,Domestic Gas,Stockton-on-Tees,Domestic,,,,225.1412,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000005,http://reference.data.gov.uk/id/year/2006,LULUCF Net Emissions: Forest land,Darlington,LULUCF,,,,-4.7038,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000011,http://reference.data.gov.uk/id/year/2017,Public Sector Electricity,East Riding of Yorkshire,Public Sector,,,,22.7407,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000035,http://reference.data.gov.uk/id/year/2016,Domestic Electricity,Medway,Domestic,,,,120.7245,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000003,http://reference.data.gov.uk/id/year/2015,Public Sector 'Other Fuels',Redcar and Cleveland,Public Sector,,,,0.0693,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000038,http://reference.data.gov.uk/id/year/2008,Public Sector 'Other Fuels',Reading,Public Sector,,,,0.1785,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000034,http://reference.data.gov.uk/id/year/2017,Industry 'Other Fuels',Thurrock,Industry,,,,27.3879,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
Territorial emissions,England,http://gss-data.org.uk/def/climate-change/concept/local-authority-code/E06000005,http://reference.data.gov.uk/id/year/2006,Transport Other,Darlington,Transport,,,,2.7543,http://gss-data.org.uk/data/climate-change/beis-2005-to-2019-local-authority-carbon-dioxide-co2-emissions/2005-to-2019-local-authority-carbon-dioxide-co2-emissions-dataset-revised.csv#unit/kt-co2
